FoodGroup,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg
Animal source,97,10.69,3.85,4.61,2.38,0.2,38,0.068,0.53,1.4,0.04,11,0.15,0.142,0.033,53,0.04,0.16,7,0.003,113,7.7,0.33
Animal source,72,10.34,0.29,6.66,1.85,0,2,0.016,0.46,0,0.01,9,0.144,0.226,0.023,86,0.03,0.15,11,0.022,190,9.4,0.47
Animal source,81,10.45,2.27,4.76,4,0,68,0.057,0.47,0,0.08,8,0.103,0.251,0.02,111,0.033,0.13,9,0.015,150,11.9,0.51
Animal source,72,12.39,1.02,2.72,2.72,0,11,0.068,0.63,0,0.01,12,0.128,0.165,0.021,61,0.028,0.14,5,0.003,134,9,0.38
Animal source,342,5.93,34.24,4.07,3.21,0,366,0.035,0.25,0,0.29,11,0.145,0.125,0.02,98,0.019,0.38,9,0.011,106,2.4,0.51
Animal source,357,24.99,27.8,1.43,1.43,0,243,0.076,1.54,0,0.24,16,0.082,0.389,0.037,731,0.036,0.44,30,0.011,536,14.5,3.75
Animal source,264,14.21,21.28,4.09,4.09,0,125,0.424,1.69,0,0.18,32,0.991,0.844,0.154,493,0.032,0.65,19,0.028,337,15,2.88
Animal source,389,25.6,31.14,1.55,1.55,0,261,0.083,1.68,0,0.27,6,0.15,0.204,0.021,550,0.025,0.23,14,0.014,346,14.5,3.5
Animal source,466,9.65,29.51,42.65,0,0,334,0.271,2.42,0,0,5,0.813,1.382,0.315,400,0.08,0.52,70,0.04,444,14.5,1.14
Animal source,356,24.94,27.44,2.22,2.22,0,165,0.08,1.54,0,0.24,21,0.063,0.334,0.03,700,0.036,0.24,29,0.011,546,14.5,3.9
Animal source,413,29.81,32.34,0.36,0.36,0,271,0.081,1.6,0,0.28,10,0.106,0.279,0.06,1011,0.032,0.17,36,0.017,605,14.5,3.9
Animal source,327,20.05,27.25,0.49,0.49,0,340,0.086,1.04,0,0.23,58,0.158,0.503,0.08,497,0.021,0.13,21,0.038,393,14.5,2.1
Animal source,373,24.48,30.28,0.68,0.5,0,198,0.079,0.83,0,0.26,18,0.093,0.39,0.015,746,0.032,0.72,27,0.011,444,14.5,3
Animal source,300,22.17,22.35,2.19,1.03,0,179,0.037,2.28,0,0.19,7,0.104,0.283,0.03,505,0.011,0.44,20,0.03,354,17,2.92
Animal source,318,21.6,24.64,2.47,1.01,0,197,0.062,0.73,0,0.21,8,0.094,0.27,0.016,575,0.022,0.2,21,0.009,412,16.1,2.46
Animal source,254,24.26,15.92,2.77,1.13,0,127,0.07,0.82,0,0.14,9,0.105,0.303,0.018,782,0.025,0.22,23,0.01,463,14.4,2.76
Animal source,301,24.58,19.72,6.36,2.24,0,254,0.111,1.82,0,0.43,27,0.144,0.348,0.059,716,0.034,0.23,29,0.041,537,26.8,3.61
Animal source,368,23.41,30.04,1.12,1.12,0,298,0.056,1.47,0,0.26,12,0.103,0.32,0.013,717,0.031,0.41,27,0.008,468,14.5,2.81
Animal source,253,9.15,22.78,3.59,3.19,0,241,0.041,0.3,0,0.4,14,0.21,0.155,0.022,117,0.027,0.13,10,0.011,138,3,0.82
Animal source,420,28.42,27.84,13.91,0.07,0,262,0.081,1.4,0,0.53,6,0.08,0.358,0.026,853,0.04,0.49,34,0.071,627,34.4,4.2
Animal source,392,35.75,25.83,3.22,0.8,0,207,0.091,1.2,0,0.22,7,0.271,0.332,0.039,1184,0.032,0.82,44,0.02,694,22.5,2.75
Animal source,352,23.78,28.2,0.57,0.57,0,315,0.053,1.5,0,0.24,18,0.06,0.24,0.014,650,0.022,0.43,24,0.011,360,14.5,2.6
Animal source,351,25.58,26.62,2.14,0.56,0,236,0.073,1.46,0,0.23,10,0.156,0.321,0.019,756,0.026,0.52,28,0.01,496,14.5,3.23
Animal source,174,11.26,12.98,3.04,0.27,0,120,0.043,0.34,0,0.11,12,0.104,0.195,0.013,207,0.021,0.38,11,0.006,158,14.5,1.16
Animal source,138,11.39,7.91,5.14,0.31,0,107,0.02,0.29,0,0.07,13,0.078,0.185,0.021,272,0.034,0.44,15,0.01,183,16.7,1.34
Animal source,387,31.8,26.94,3.63,0.73,0,96,0.085,1.12,0,0.23,7,0.077,0.37,0.037,1064,0.03,0.77,41,0.02,760,14.5,2.58
Animal source,369,21.54,30.64,2,0,0,294,0.124,0.64,0,0,49,0.734,0.586,0.04,662,0.034,0.56,30,0.03,392,14.5,2.08
Animal source,380,26.93,27.8,5.38,1.32,0,220,0.083,3.34,0,0.38,6,0.092,0.296,0.063,791,0.043,0.2,38,0.005,567,18.2,4.36
Animal source,340,24.41,25.98,1.88,0,0,249,0.065,2.1,0,0,20,0.205,0.359,0.061,700,0.026,0.23,13,0.013,500,14.5,3.5
Animal source,366,18.13,30.71,4.78,2.26,0,317,0.054,1.5,0,0.8,8,0.076,0.234,0.015,1045,0.046,0.63,26,0.041,641,20.2,2.49
Animal source,375,22.13,31.2,1.73,0.62,0.1,244,0.071,0.7,2.3,0.29,8,0.078,0.354,0.027,614,0.033,0.42,22,0.016,744,14.5,2.98
Animal source,334,24.73,25.01,2.1,1.23,0,198,0.036,1.23,0,0.34,6,0.038,0.276,0.014,772,0.027,0.61,29,0.014,762,15.9,3.61
Animal source,331,19.66,24.46,8.32,0,0,0,0.141,1.28,0,0,5,0.074,0.446,0.03,497,0.03,0.84,30,0.01,400,16.2,3.01
Animal source,330,16.86,25.63,8.56,5.59,0,201,0.102,1.33,0,0.63,7,0.155,0.36,0.035,682,0.034,0.26,27,0.025,438,19.6,2.31
Animal source,323,21.92,24.14,4.5,0,0,237,0.035,2.3,0,0,6,0.104,0.4,0.014,723,0.03,0.6,28,0.01,526,16.1,3.55
Animal source,290,16.41,21.23,8.73,7.32,0,173,0.117,0.4,0,0.19,7,0.131,0.431,0.048,562,0.033,0.33,29,0.02,875,11.3,2.59
Animal source,130,2.96,11.5,4.3,4.3,0,97,0.039,0.33,0.9,0.33,3,0.078,0.149,0.035,105,0.01,0.07,10,0.001,95,1.8,0.51
Animal source,195,2.7,19.31,3.66,3.66,0,181,0.032,0.22,0.8,0.55,2,0.057,0.148,0.032,96,0.008,0.04,9,0.001,80,0.6,0.27
Animal source,292,2.17,30.91,2.96,2.96,0,279,0.028,0.2,0.6,0.88,4,0.042,0.125,0.024,69,0.007,0.03,7,0.001,61,0.5,0.25
Animal source,345,2.05,37,2.79,2.79,0,411,0.026,0.18,0.6,1.06,4,0.039,0.11,0.022,65,0.006,0.03,7,0.001,62,0.5,0.23
Animal source,257,3.2,22.22,12.49,8,0,188,0.041,0.29,0,0.64,3,0.07,0.065,0.037,101,0.01,0.05,11,0.001,89,1.4,0.37
Animal source,135,2.94,12,4.26,0.16,0,102,0.016,0.3,0.9,0.34,11,0.067,0.149,0.035,104,0.016,0.07,10,0.003,95,2.1,0.5
Animal source,193,2.07,19.73,2.88,2.88,0,176,0.057,0.28,0.9,0.44,7,0.109,0.172,0.036,110,0.019,0.17,10,0.011,115,2.6,0.38
Animal source,88,4.55,4.19,8.05,8.05,0,59,0.05,0.45,1.5,0.21,1,0.105,0.19,0.034,130,0.013,0.2,19,0.005,109,4.2,0.46
Animal source,178,3.25,16.57,4.68,4.68,0,3,0.017,0.33,0.9,1.34,12,0.074,0.163,0.038,113,0.01,0.03,10,0.002,87,2.3,0.37
Animal source,63,3.33,3.46,4.74,0,0,2,0.04,0.34,0.9,0,5,0.087,0.123,0.03,128,0.01,0.05,13,0.002,97,2,0.36
Animal source,63,3.33,3.4,4.74,4.74,0,2,0.04,0.34,0.9,0.13,5,0.087,0.123,0.03,128,0.01,0.05,13,0.002,97,2,0.36
Animal source,126,21.05,0,10.53,5.26,0,56,0.567,1.85,0,0.27,9,5.56,0.545,0.412,789,0.559,0,115,0,316,14.6,4.11
Animal source,136,1,9.97,11.38,11.38,0,1,0,0,0,0.81,0,0,0,0,9,0,0.03,0,0,64,1.1,0.02
Animal source,136,1,9.97,11.38,0,0,4,0,0,0,0,0,0,0,0,9,0.025,0.03,0,0.04,64,1.1,0.02
Animal source,545,4.79,35.48,54.88,54.88,0,2,0,0,0,0.59,0,0,0.165,0,22,0.115,1.15,4,0.22,422,0.6,0.51
Animal source,577,4.9,39.92,52.54,52.54,0,0,0,0,0,1.52,0,0,0,0,17,0.118,0.03,7,0.225,74,0.6,0.08
Animal source,194,3.61,12.72,17.13,17.13,0,34,0.03,0.26,0.7,0.45,4,0.06,0.117,0.027,90,0.012,0.04,10,0.005,86,4.8,0.27
Animal source,264,0.98,22.3,16.07,16.07,0,4,0,0,0,0.85,0,0,0,0,5,0.024,0.02,1,0.045,18,1.5,0.01
Animal source,318,1.25,25.31,23.05,23.05,0,7,0,0,0,0.96,0,0,0,0,6,0.03,0.12,2,0.058,8,2.1,0.03
Animal source,208,2.4,19.52,6.63,6.63,0,0,0,0,0,0.74,0,0,0,0,3,0.058,0.39,6,0.11,45,2.5,1.18
Animal source,61,1.75,3.41,6.16,0,0,0,0,0,0,0,0,0,0.088,0.012,33,0.051,0.39,6,0.097,74,1.9,1.18
Animal source,61,3.15,3.25,4.8,5.05,0,46,0.036,0.45,0,0.07,5,0.089,0.169,0.046,113,0.025,0.03,10,0.004,84,3.7,0.37
Animal source,64,3.28,3.66,4.65,0,0,33,0.042,0.36,1.5,0,5,0.084,0.161,0.038,119,0.01,0.05,13,0.004,93,2,0.38
Animal source,50,3.3,1.98,4.8,5.06,0,55,0.038,0.53,0.2,0.03,5,0.092,0.185,0.039,120,0.006,0.02,11,0.014,92,2.5,0.48
Animal source,51,3.48,1.92,4.97,0,0,56,0.045,0.38,1,0,5,0.09,0.173,0.04,128,0.008,0.05,14,0.002,100,2.3,0.4
Animal source,56,3.95,1.98,5.49,5.26,0,0,0.051,0.43,1.1,0.04,6,0.101,0.194,0.045,143,0.008,0.06,16,0.002,112,2.6,0.45
Animal source,42,3.37,0.97,4.99,5.2,0,58,0.037,0.47,0,0.01,5,0.093,0.185,0.02,125,0.01,0.03,11,0.003,95,3.3,0.42
Animal source,43,3.48,0.97,4.97,0,0,59,0.045,0.38,1,0,5,0.09,0.173,0.04,128,0.01,0.05,14,0.002,100,2.3,0.4
Animal source,48,3.93,1.17,5.52,0,0,61,0.05,0.43,1.2,0,6,0.1,0.192,0.045,142,0.01,0.06,16,0.002,111,2.5,0.45
Animal source,34,3.37,0.08,4.96,5.09,0,61,0.037,0.5,0,0.01,5,0.094,0.182,0.045,122,0.013,0.03,11,0.003,101,3.1,0.42
Animal source,37,3.57,0.25,5.02,5.02,0,64,0.046,0.39,1,0.01,5,0.091,0.175,0.041,129,0.011,0.05,15,0.002,104,2.2,0.41
Animal source,41,3.96,0.25,5.56,0,0,61,0.05,0.43,1.1,0,6,0.101,0.194,0.045,143,0.011,0.06,16,0.002,112,2.4,0.45
Animal source,40,3.31,0.88,4.79,4.79,0,14,0.034,0.22,1,0.05,5,0.058,0.154,0.034,116,0.011,0.05,11,0.002,89,2,0.42
Animal source,61,3.1,3.46,4.46,4.46,0,29,0.034,0.36,0.9,0.08,5,0.043,0.105,0.02,101,0.01,0.05,5,0.004,86,2,0.38
Animal source,496,26.32,26.71,38.42,38.42,0,258,0.302,3.25,8.6,0.58,37,0.646,1.205,0.283,912,0.08,0.47,85,0.04,776,16.3,3.34
Animal source,362,36.16,0.77,51.98,51.98,0,6,0.361,4.03,6.8,0,50,0.951,1.55,0.415,1257,0.041,0.32,110,0.02,968,27.3,4.08
Animal source,358,35.1,0.72,52.19,52.19,0,709,0.345,3.99,5.6,0.01,50,0.891,1.744,0.413,1231,0.041,0.31,117,0.02,985,27.3,4.41
Animal source,354,35.5,0.2,51.8,0,0,2,0.298,3.98,6.7,0,50,0.665,1.642,0.163,280,0.016,0.32,60,0.008,1011,27.3,4.03
Animal source,387,34.3,5.78,49,49,0,49,0.338,3.82,5.7,0.1,47,0.876,1.579,0.392,1184,0.111,0.3,110,0.023,933,20.3,4.02
Animal source,321,7.91,8.7,54.4,54.4,0,74,0.051,0.44,2.6,0.16,11,0.21,0.416,0.09,284,0.015,0.19,26,0.006,253,14.8,0.94
Animal source,134,6.81,7.56,10.04,10.04,0,65,0.05,0.16,1.9,0.14,8,0.194,0.316,0.047,261,0.016,0.19,24,0.006,203,2.3,0.77
Animal source,78,7.55,0.2,11.35,11.35,0,118,0.055,0.24,1.2,0,9,0.174,0.309,0.045,290,0.016,0.29,27,0.006,195,2.5,0.9
Animal source,83,3.17,3.39,10.34,9.54,0.8,27,0.04,0.33,0.9,0.07,5,0.125,0.162,0.037,112,0.065,0.24,13,0.077,101,1.9,0.41
Animal source,76,2.99,1.9,12.13,9.55,0.7,64,0.024,0.33,0,0.04,2,0.164,0.183,0.045,109,0.075,0.24,14,0.062,102,3.4,0.39
Animal source,71,3.24,1,12.6,9.94,0.5,58,0.041,0.32,0.9,0.02,5,0.127,0.166,0.038,116,0.065,0.27,13,0.077,103,1.9,0.41
Animal source,77,3.52,2.34,10.74,9.66,1,51,0.04,0.49,0.2,0.03,5,0.133,0.182,0.039,114,0.103,0.42,23,0.013,105,2.7,0.63
Animal source,69,3.56,4.14,4.45,4.45,0,57,0.046,0.07,1.3,0.07,1,0.277,0.138,0.048,134,0.046,0.05,14,0.018,111,1.4,0.3
Animal source,70,1.03,4.38,6.89,6.89,0,61,0.011,0.05,5,0.08,5,0.177,0.036,0.014,32,0.052,0.03,3,0.026,14,1.8,0.17
Animal source,97,3.75,6.89,5.18,0,0,53,0.023,0.36,2.3,0,6,0.091,0.135,0.052,169,0.046,0.12,31,0.018,117,0,0.22
Animal source,108,5.98,7,5.36,0,0,44,0.06,0.71,4.2,0,7,0.417,0.355,0.065,193,0.046,0.1,18,0.018,158,1.7,0.54
Animal source,119,3.05,2.7,21.15,20.85,0.3,18,0.025,0.32,0,0.05,5,0.124,0.222,0.047,132,0.065,0.31,16,0.039,126,1.9,0.48
Animal source,112,3.86,3.03,17.75,17.75,0,25,0.042,0.52,0,0.05,7,0.146,0.195,0.03,146,0.051,0.1,12,0.014,115,2.3,0.39
Animal source,24,0.76,0.09,5.12,5.12,0,2,0.042,0.18,0.1,0,2,0.079,0.14,0.042,103,0.003,0.08,10,0.002,78,1.8,0.43
Animal source,339,11.73,0.54,73.45,73.45,0,17,0.62,2.5,0.9,0,33,1.16,2.06,0.622,2054,0.05,1.24,199,0.015,1349,27.3,6.31
Animal source,27,0.85,0.36,5.14,5.14,0,3,0.031,0.28,0.1,0,1,0.074,0.158,0.036,47,0.004,0.06,8,0.001,46,1.9,0.13
Animal source,353,12.93,1.07,74.46,74.46,0,8,0.584,2.37,1.5,0.02,12,1.258,2.208,0.519,796,0.07,0.88,176,0.009,932,27.2,1.97
Animal source,61,3.47,3.25,4.66,4.66,0,27,0.032,0.37,0.5,0.06,7,0.075,0.142,0.029,121,0.009,0.05,12,0.004,95,2.2,0.59
Animal source,63,5.25,1.55,7.04,7.04,0,14,0.049,0.56,0.8,0.03,11,0.114,0.214,0.044,183,0.013,0.08,17,0.004,144,3.3,0.89
Animal source,56,5.73,0.18,7.68,7.68,0,2,0.053,0.61,0.9,0,12,0.124,0.234,0.048,199,0.015,0.09,19,0.005,157,3.6,0.97
Animal source,85,4.93,1.25,13.8,13.8,0,12,0.045,0.53,0.8,0.02,11,0.107,0.201,0.042,171,0.013,0.07,16,0.004,135,4.9,0.83
Animal source,99,3.98,1.15,18.64,18.64,0,11,0.037,0.43,0.6,0.02,9,0.086,0.162,0.034,138,0.079,0.06,13,0.064,109,2.8,0.67
Animal source,102,4.37,1.08,19.05,19.05,0,10,0.04,0.47,0.7,0.02,9,0.095,0.178,0.037,152,0.08,0.07,15,0.065,119,3.1,0.74
Animal source,105,4.86,1.41,18.6,0,0,0,0.045,0.52,0.7,0,10,0.105,0.198,0.041,169,0.08,0.07,16,0.065,133,3.1,0.82
Animal source,143,12.56,9.51,0.72,0.37,0,160,0.17,0.89,0,1.05,47,0.075,0.457,0.04,56,0.072,1.75,12,0.028,198,30.7,1.29
Animal source,52,10.9,0.17,0.73,0.71,0,0,0.005,0.09,0,0,4,0.105,0.439,0.004,7,0.023,0.08,11,0.011,15,20,0.03
Animal source,322,15.86,26.54,3.59,0.56,0,381,0.35,1.95,0,2.58,146,0.024,0.528,0.176,129,0.077,2.73,5,0.055,390,56,2.3
Animal source,299,15.33,25.24,1.3,0.17,0,395,0.442,1.64,0,2.24,151,0.031,0.563,0.223,133,0.024,3.67,11,0.078,420,56.4,3.17
Animal source,307,13.87,22.82,10.95,10.3,0,316,0.398,1.64,0,2.25,174,0.037,0.523,0.14,124,0.012,3.7,10,0.08,404,53.5,3.06
Animal source,196,13.61,14.84,0.83,0.4,0,219,0.184,0.97,0,1.31,51,0.082,0.495,0.044,62,0.078,1.89,13,0.03,215,33.1,1.39
Animal source,155,12.58,10.61,1.12,1.12,0,149,0.121,1.11,0,1.03,44,0.064,0.513,0.066,50,0.013,1.19,10,0.026,172,30.8,1.05
Animal source,154,10.57,11.66,0.64,0.31,0,172,0.143,0.76,0,1.29,39,0.064,0.386,0.034,48,0.063,1.48,11,0.024,167,25.8,1.09
Animal source,143,12.51,9.47,0.71,0.37,0,160,0.144,0.71,0,1.04,35,0.063,0.387,0.032,56,0.072,1.75,12,0.028,197,30.6,1.29
Animal source,149,9.99,10.98,1.61,1.39,0,161,0.134,0.76,0,1.15,36,0.076,0.376,0.04,66,0.059,1.31,11,0.022,165,23.5,1.04
Animal source,605,48.37,43.04,1.53,0.3,0,150,0.494,3.39,0,2.17,119,0.34,1.977,0.183,236,0.203,4.33,34,0.058,629,164.7,3.15
Animal source,615,48.17,43.95,2.38,0,0,616,0.42,10.51,0,0,193,0.259,1.232,0.325,222,0.27,8.28,49,0.15,715,121.1,5.71
Animal source,351,76.92,0.04,4.17,0,0,0,0.023,0.49,0,0,89,0.675,2.162,0.035,83,0.23,0.23,67,0.07,83,116.8,0.15
Animal source,376,82.4,0.04,4.47,0,0,0,0.024,0.53,0,0,96,0.723,2.316,0.037,89,0.17,0.24,72,0.05,89,125.1,0.16
Animal source,679,33.73,58.13,2.1,0.07,0,785,0.842,6.02,0,4.81,209,0.083,1.257,0.387,307,0.012,9.5,26,0.185,1040,139.3,7.73
Animal source,185,12.81,13.77,1.45,0.93,0,194,0.25,5.4,0,1.34,80,0.2,0.404,0.156,64,0.062,3.85,17,0.038,220,36.4,1.41
Animal source,185,13.87,13.27,1.35,0.94,0,187,0.236,5.1,0,1.29,76,0.189,0.382,0.147,60,0.062,3.64,16,0.038,208,36.9,1.33
Animal source,158,13.05,11.09,0.41,0.4,0,156,0.15,1.58,0,1.08,66,0.15,0.79,0.13,64,0.062,3.65,13,0.038,226,32,1.47
Animal source,171,13.68,11.88,1.15,0,0,166,0.131,1.69,0,0,71,0.024,0.47,0.11,99,0.062,4.1,13,0.038,170,34.3,1.58
Animal source,444,55.5,13,21.8,21.8,0,369,0.143,3.52,0.8,1.26,125,0.577,1.76,0.226,326,0.207,3.16,65,0.08,478,127.7,1.82
Animal source,717,0.85,81.11,0.06,0.06,0,684,0.003,0.17,0,2.32,3,0.042,0.034,0.005,24,0.016,0.02,2,0.004,24,1,0.09
Animal source,415,37.86,27.34,3.41,0.9,0,229,0.105,1.4,0,0.25,8,0.287,0.352,0.041,1253,0.037,0.87,51,0.023,735,23.9,3.19
Animal source,34,3.37,0.08,4.96,5.09,0,2,0.037,0.5,0,0.01,5,0.094,0.182,0.045,122,0.013,0.03,11,0.003,101,3.1,0.42
Animal source,56,3.95,1.98,5.49,0,0,17,0.046,0.39,1.1,0,5,0.101,0.194,0.045,143,0.011,0.06,15,0.002,112,2.6,0.41
Animal source,134,6.81,7.56,10.04,0,0,0,0.05,0.16,1.9,0,8,0.194,0.316,0.047,261,0.016,0.19,24,0.006,203,2.3,0.77
Animal source,362,36.16,0.77,51.98,51.98,0,653,0.361,4.03,6.8,0,50,0.951,1.55,0.415,1257,0.041,0.32,110,0.02,968,27.3,4.08
Animal source,358,35.1,0.72,52.19,52.19,0,4,0.345,3.99,5.6,0.01,50,0.891,1.744,0.413,1231,0.041,0.31,117,0.02,985,27.3,4.41
Animal source,452,30.52,35.59,2.17,2.17,0,486,0.08,0.12,0,0.31,4,2.4,1.19,0.14,895,0.627,1.88,54,0.252,729,5.5,1.59
Animal source,364,21.58,29.84,0.12,0.12,0,407,0.06,0.22,0,0.26,2,1.148,0.676,0.072,298,0.564,1.62,29,0.093,375,3.8,0.66
Animal source,264,18.52,21.08,0,0,0,288,0.25,0.19,0,0.18,12,0.43,0.38,0.07,140,0.732,1.9,16,0.1,256,2.8,0.92
Animal source,275,14.07,22.93,1.77,0.07,0,313,0.402,1.61,0,2.28,112,0.027,0.427,0.14,113,0.121,3.4,7,0.065,414,56.9,2.87
Animal source,248,11.47,12.22,23.67,23.67,0,437,0.051,0.81,0.1,0.11,11,0.317,0.444,0.026,610,0.11,0.4,41,0.028,583,19.2,1.92
Animal source,197,10.33,14.92,5.48,0.19,0.1,82,0.045,0.35,0.6,0.09,11,0.204,0.243,0.044,311,0.019,0.35,19,0.04,229,6.6,1.26
Animal source,373,21.44,29.98,4.63,4.63,0,64,0.047,1.38,0,0.26,1,0.032,0.209,0.02,680,0.008,0.47,28,0.037,444,14.5,2.94
Animal source,356,22.6,28.26,2.87,2.87,0,55,0.053,1,0,0.24,8,0.181,0.223,0.021,661,0.026,0.51,26,0.036,443,14.5,3.02
Animal source,374,21.56,29.68,5.56,5.56,0,56,0.055,1.03,0,0.26,2,0.15,0.225,0.018,651,0.024,0.47,23,0.071,442,14.5,3.5
Animal source,173,24.35,7,1.91,0.52,0,60,0.045,0.49,0,0.06,11,0.051,0.221,0.012,415,0.021,0.42,16,0.006,484,14.5,1.82
Animal source,398,24.35,32.62,1.91,0.49,0,264,0.076,0.83,0,0.28,18,0.086,0.375,0.021,703,0.036,0.72,27,0.011,484,14.5,3.09
Animal source,154,12.03,10.7,1.27,0.1,0,146,0.197,1.16,0,0.72,87,0.103,0.523,0.067,63,0.025,1.69,9,0.032,193,37.2,1.32
Animal source,46,9.3,0.04,1.26,0.2,0,0,0.004,0.9,0,0,10,0.093,0.423,0.023,10,0.032,0.17,11,0.007,13,9.2,0.07
Animal source,382,81.1,0,7.8,5.4,0,0,0.036,0.18,0,0,18,0.865,2.53,0.005,62,0.114,0.15,88,0.007,111,125.1,0.1
Animal source,50,3.3,1.98,4.8,5.06,0,28,0.038,0.53,0.2,0.03,5,0.092,0.185,0.039,120,0.006,0.02,11,0.014,92,2.5,0.48
Animal source,42,3.37,0.97,4.99,5.2,0,14,0.037,0.47,0,0.01,5,0.093,0.185,0.02,125,0.01,0.03,11,0.003,95,3.3,0.42
Animal source,181,7,14.1,7,0.3,0,119,0.02,0.3,0.9,0.4,11,0.07,0.24,0.04,141,0.01,0.06,11,0,85,4.1,0.27
Animal source,136,3.5,10.6,7.1,0.22,0,90,0.02,0.42,0.9,0.3,11,0.07,0.12,0.04,141,0.016,0.07,10,0,71,3.1,0.5
Animal source,74,3.1,0,15.6,0.39,0,73,0.02,0.3,0,0,11,0.07,0.15,0.04,125,0.016,0,10,0,95,5.3,0.5
Animal source,282,27.2,18.3,2,0.58,0,150,0.084,1.66,0,0.16,20,0.06,0.3,0.03,905,0.021,0.13,35,0,583,15.5,4.3
Animal source,43,3.86,0.18,7.5,7.5,0,2,0.037,0.43,1.1,0,8,0.086,0.162,0.034,143,0.079,0.12,13,0,109,3.1,0.67
Animal source,370,40,5,40,1.5,0,40,0.1,1.1,0,0.04,25,0.2,0.05,0.05,800,0.02,5,40,0,700,43.3,3
Animal source,105,15.69,1,7.66,5.48,0,11,0.05,0.95,0,0.02,35,0.23,0.265,0.04,351,0.036,0.19,22,0.017,523,4.9,1.5
Animal source,112,3.53,0,23.53,14.97,1.2,0,0.047,0.5,0,0,12,0.223,0.215,0.047,88,0.209,0.42,40,0,166,7,1.13
Animal source,276,12,21,9.2,6.7,0.3,0,0,0,0.4,0,0,0,0.24,0,359,0,0.19,0,0,806,0,1.64
Animal source,215,16.3,9.5,16.2,8.2,0.2,0,0,0,0.4,0,0,0,0.33,0,418,0,0.16,0,0,943,0,2.36
Animal source,148,22.7,1,11.7,6.7,0.2,0,0,0,0.2,0,0,0,0.28,0,712,0,0.05,0,0,923,0,2.5
Animal source,303,16.3,22,9.8,8.1,0,0,0,0,0.2,0,0,0,0.35,0,466,0,0.18,0,0,863,0,1.84
Animal source,222,19.6,10.6,11.8,8.5,0,0,0,0,0.1,0,0,0,0.65,0,574,0,0.14,0,0,1024,0,2.49
Animal source,152,4.5,12,6.5,6.4,0.1,0,0,0,1.1,0,0,0,0,0,161,0,0.06,0,0,110,0,0
Animal source,91,4.7,1.3,15.1,7.2,0,0,0,0,1.2,0,0,0,0,0,141,0,0.05,0,0,116,0,0
Animal source,59,2.6,1.4,9,5,0,12,0.062,0.52,0.7,0.04,4,0.124,0.237,0.056,96,0.016,0,16,0.002,151,2.9,0.81
Animal source,149,3,5,25,16,0.4,49,0.123,1.48,0,0.09,17,0.364,0.619,0.148,108,0.019,0.03,8,0,68,3,0.31
Animal source,78,2.99,1.9,12.13,9.55,0.7,64,0.024,0.33,0,0.04,2,0.164,0.565,0.045,194,0.075,0.24,14,0.062,76,3.4,0.39
